予測	正解
B	B
B	B
D	D
D	D
A	A
A	A
D	D
A	A
C	C
D	D
A	A
A	A
C	C
C	C
A	A
A	D
A	A
C	C
A	A
D	D
A	A
D	D
C	C
B	B
C	C
A	A
A	A
D	D
A	A
D	D
C	C
A	A
D	D
C	C
C	C
D	D
C	C
C	C
D	D
D	D
A	A
C	C
D	D
B	B
C	C
C	C
B	B
C	C
D	D
C	C
D	D
D	D
A	A
C	C
D	D
A	A
D	D
A	A
B	B
D	D
B	B
A	A
C	C
B	B
D	D
B	B
A	B
B	B
A	A
C	C
D	D
B	B
A	A
D	D
C	C
C	C
D	D
D	D
C	C
C	C
A	A
D	D
D	D
A	A
D	D
A	D
A	A
C	C
A	A
C	C
A	A
D	D
B	B
B	B
A	A
C	C
C	C
D	D
A	A
B	B
D	D
D	D
D	D
C	C
A	A
A	A
A	A
D	D
B	B
D	D
B	B
A	A
D	D
D	D
B	B
C	C
D	D
A	A
D	D
B	B
B	B
C	C
D	D
A	A
B	B
D	D
C	C
D	D
D	D
C	C
B	B
C	D
D	B
C	C
A	B
D	D
B	B
A	A
B	B
D	D
A	A
C	C
D	D
A	A
B	B
D	D
A	A
D	D
D	D
B	B
正解数: 144/150  正解率：96.00%
